地區,年分,房,廳,衛,室,車位,樓層,總樓層,房價(萬),海拔
北投區,5.6,3.0,2.0,3.0,0.0,1,6,9,6555.0,4.159
北投區,41.7,3.0,1.0,1.0,0.0,0,1,4,1280.0,2.56
大安區,39.7,2.0,2.0,1.0,0.0,0,12,12,1680.0,3.891
大安區,27.6,3.0,1.0,2.0,0.0,1,2,8,3750.0,5.084
大安區,25.9,2.0,2.0,2.0,0.0,1,4,5,4388.0,9.118
北投區,36.7,3.0,2.0,2.0,0.0,0,7,7,1738.0,40.188
大安區,46.3,0.0,2.0,2.0,0.0,0,1,4,16800.0,5.305
大安區,36.1,0.0,1.0,0.0,0.0,0,2,19,888.0,6.29
北投區,36.8,4.0,2.0,2.0,0.0,0,5,5,1980.0,2.784
大安區,44.8,4.0,2.0,2.0,0.0,0,4,4,2688.0,6.466
大安區,42.6,3.0,2.0,2.0,0.0,0,4,14,4888.0,5.99
北投區,5.3,1.0,1.0,1.0,0.0,0,7,7,1120.0,17.618
大安區,26.4,2.0,1.0,2.0,0.0,0,3,3,1750.0,6.418
大安區,8.5,0.0,1.0,1.0,0.0,0,2,14,7500.0,5.059
北投區,13.4,3.0,2.0,2.0,0.0,1,8,14,3300.0,47.625
大安區,41.0,3.0,2.0,2.0,0.0,0,4,12,4488.0,5.305
大安區,34.0,3.0,2.0,2.0,0.0,0,4,13,5950.0,5.084
大安區,41.1,1.0,0.0,1.0,0.0,0,6,9,1338.0,5.084
北投區,8.8,3.0,2.0,2.0,2.0,1,2,8,7988.0,17.841
大安區,21.5,0.0,1.0,2.0,1.0,1,1,9,7888.0,4.108
北投區,5.0,0.0,2.0,2.0,0.0,1,1,5,2480.0,6.211
北投區,34.3,3.0,3.0,2.0,0.0,0,5,5,1480.0,44.001
大安區,33.4,3.0,2.0,2.0,1.0,1,12,22,7500.0,5.99
北投區,36.7,2.0,2.0,1.0,0.0,0,2,7,1250.0,40.188
北投區,14.9,4.0,2.0,2.0,0.0,1,4,15,4680.0,7.17
大安區,33.5,4.0,2.0,2.0,0.0,0,2,7,4650.0,5.488
大安區,32.1,4.0,2.0,2.0,0.0,0,2,12,4380.0,7.076
大安區,32.7,2.0,2.0,1.0,0.0,0,9,12,2880.0,5.305
北投區,36.5,3.0,2.0,2.0,0.0,0,2,7,2388.0,40.188
大安區,49.7,2.0,2.0,1.0,0.0,0,3,4,1498.0,6.326
大安區,44.4,4.0,2.0,2.0,1.0,0,4,7,5552.0,5.084
大安區,31.7,1.0,2.0,2.0,1.0,0,4,12,3858.0,5.305
北投區,21.2,3.0,2.0,2.0,0.0,0,5,17,1998.0,17.618
北投區,26.8,3.0,2.0,2.0,0.0,0,5,7,2750.0,5.347
北投區,43.7,2.0,2.0,1.0,0.0,0,3,7,830.0,44.001
北投區,35.0,3.0,2.0,2.0,0.0,0,5,5,1350.0,5.377
北投區,9.0,2.0,2.0,2.0,0.0,1,3,5,4650.0,40.188
大安區,24.3,3.0,2.0,2.0,0.0,1,3,6,2498.0,8.759
大安區,8.2,1.0,2.0,2.0,1.0,1,5,6,3900.0,6.257
北投區,25.9,1.0,2.0,1.0,0.0,0,11,11,1380.0,24.797
大安區,44.7,3.0,0.0,3.0,0.0,0,3,4,2680.0,5.305
北投區,6.7,2.0,2.0,1.0,0.0,1,5,10,2430.0,44.001
北投區,13.8,2.0,2.0,2.0,0.0,1,5,7,2680.0,40.188
大安區,35.1,3.0,2.0,2.0,0.0,0,1,6,6890.0,4.108
大安區,50.6,1.0,2.0,2.0,0.0,0,1,6,9988.0,4.787
北投區,39.3,3.0,2.0,1.0,0.0,0,6,7,1488.0,148.535
大安區,12.2,1.0,0.0,0.0,0.0,1,1,11,7200.0,2.25
北投區,47.8,3.0,2.0,2.0,0.0,0,1,2,2300.0,17.618
北投區,5.3,1.0,1.0,1.0,0.0,0,6,7,1120.0,17.618
大安區,36.1,1.0,2.0,1.0,0.0,0,2,19,1688.0,6.29
大安區,47.9,4.0,2.0,2.0,0.0,0,2,7,6500.0,3.77
大安區,53.6,3.0,2.0,1.0,0.0,0,1,4,2988.0,5.787
大安區,43.7,3.0,2.0,2.0,0.0,0,5,7,3788.0,5.305
大安區,37.5,4.0,1.0,0.0,0.0,0,1,5,4250.0,6.793
大安區,32.0,3.0,2.0,1.5,1.5,0,8,17,2680.0,6.466
大安區,42.5,3.0,2.0,2.0,0.0,0,5,5,3398.0,4.787
北投區,42.8,3.0,1.0,1.0,0.0,0,4,5,1160.0,17.618
大安區,39.9,4.0,3.0,2.0,0.0,0,8,12,5888.0,6.085
大安區,46.0,3.0,1.0,1.0,0.0,0,4,4,3088.0,6.326
