嚴重程度,時,分,區,天候,光線,道路類別,速限,道路型態,事故位置,路面狀態,路面缺陷,障礙物,視距,號誌種類,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,車輛用途,當事者行動狀態,駕駛資格情形,飲酒情形,車輛撞擊部位最初,肇事因素個別,肇事因素主要,職業
0,7,48,大安區,7,1,5,50,14,9,5,4,5,7,4,13,23,2,9,1,7,4,1,2,11,23,23,22
1,7,51,沙鹿區,7,1,5,50,4,2,5,4,5,7,4,16,26,2,9,1,7,9,1,2,11,26,26,21
1,7,52,西屯區,8,1,5,40,4,1,5,4,5,7,4,16,23,2,9,3,7,9,8,11,16,23,23,22
0,7,56,南屯區,8,1,5,50,14,8,5,4,5,7,4,18,13,2,9,1,7,9,1,2,14,13,13,22
0,7,59,南屯區,8,1,5,40,14,7,5,4,5,7,4,16,11,2,7,1,7,11,1,2,11,11,11,4
0,8,0,清水區,8,1,5,50,4,1,5,4,5,7,4,16,8,2,9,1,7,5,1,2,11,8,8,21
0,8,5,南區,8,1,5,50,14,9,5,4,5,7,4,12,23,2,8,1,7,9,1,2,12,23,23,5
1,8,8,豐原區,8,1,5,25,12,9,5,4,5,7,4,17,42,2,9,3,7,15,1,2,11,42,42,22
0,8,32,霧峰區,8,1,5,70,3,3,5,4,5,7,1,13,23,2,9,1,7,9,1,2,11,23,23,22
0,8,38,西屯區,8,1,5,40,4,2,5,4,5,7,1,16,26,3,10,3,7,8,1,2,11,26,26,22
0,8,42,北區,8,1,5,50,4,1,5,4,5,7,1,13,16,2,9,1,7,9,1,2,11,16,16,21
1,8,42,北屯區,8,1,5,50,4,1,5,4,5,7,4,17,26,2,7,3,7,9,1,2,11,26,26,21
0,9,0,大里區,8,1,5,60,14,9,5,4,5,7,4,13,23,3,10,1,7,9,1,5,1,23,23,21
0,9,2,烏日區,8,1,5,60,4,1,5,4,5,7,2,16,9,3,10,1,7,6,1,2,5,9,9,21
1,9,32,北區,8,1,5,50,14,9,5,4,5,7,4,17,43,2,9,1,7,1,1,2,12,43,43,22
0,9,37,西屯區,8,1,5,50,4,1,5,4,5,7,4,15,6,2,9,3,7,9,1,2,12,6,6,21
0,9,41,烏日區,8,1,5,50,4,1,5,4,5,7,1,12,25,3,10,1,7,9,1,2,14,25,25,21
0,9,47,南屯區,8,1,5,50,3,1,5,4,5,7,4,16,6,3,10,1,7,5,1,2,4,6,6,22
0,9,48,北區,8,1,5,50,4,1,5,4,5,7,1,16,6,3,10,1,7,6,1,2,2,6,6,22
0,9,58,南屯區,8,1,5,50,14,7,5,4,5,7,4,16,10,3,10,1,7,11,1,2,8,10,10,22
1,10,3,東區,8,1,5,30,4,1,5,4,5,7,4,15,6,2,8,1,7,9,1,2,11,6,6,5
1,10,10,潭子區,8,1,5,50,4,1,5,4,5,7,3,17,43,2,9,1,7,5,1,2,15,43,43,22
1,10,14,北屯區,8,1,5,50,14,9,5,4,5,7,4,13,42,2,9,3,7,15,1,2,1,42,42,21
0,10,24,潭子區,8,1,5,60,14,7,5,4,3,7,4,12,7,2,9,1,7,7,1,2,14,7,7,22
0,10,30,神岡區,8,1,5,50,3,1,5,4,5,7,4,16,23,2,7,3,7,5,8,2,16,23,23,22
0,10,35,西區,8,1,5,50,14,9,5,4,5,7,4,16,27,3,10,1,7,11,1,2,11,27,27,21
0,10,53,北屯區,8,1,5,50,4,1,5,4,5,7,2,16,6,3,10,1,7,6,1,2,5,6,6,21
1,10,59,西屯區,8,1,5,40,3,1,5,4,5,7,1,3,25,2,7,1,7,9,1,2,11,25,25,4
0,11,0,西區,8,1,5,50,4,1,5,4,5,7,1,16,6,3,10,1,7,6,1,2,2,6,6,21
1,11,2,北屯區,8,1,5,50,14,9,5,4,5,7,4,17,19,2,9,1,7,1,1,2,11,19,19,20
0,11,8,霧峰區,8,1,5,50,3,2,5,4,5,7,4,11,6,3,10,1,7,5,1,2,5,6,6,6
1,11,14,西區,8,1,5,50,14,9,5,4,5,7,4,13,23,2,8,1,7,9,1,2,11,23,23,22
0,11,22,西區,7,1,5,30,4,1,5,4,5,7,4,15,6,2,9,1,7,9,4,2,11,6,6,22
1,11,25,北區,8,1,5,50,14,7,5,4,5,7,4,13,16,2,9,1,7,9,1,2,11,16,16,22
0,11,26,西屯區,8,1,8,30,14,9,5,4,5,7,4,17,19,2,9,1,7,1,1,2,12,19,19,22
0,11,29,外埔區,8,1,5,50,14,9,5,4,5,7,4,20,44,2,9,1,7,9,1,2,12,44,44,21
0,11,32,北區,8,1,5,50,14,9,5,4,5,7,4,16,6,3,10,1,7,11,1,2,5,6,6,22
0,11,47,南屯區,8,1,5,40,14,8,5,4,5,7,4,18,23,2,9,1,7,9,1,2,12,23,23,22
0,12,8,北區,8,1,5,50,4,1,5,4,5,7,1,16,23,2,7,1,7,9,1,2,11,23,23,21
0,12,8,南屯區,8,1,5,50,3,1,5,4,5,7,3,16,10,3,10,1,7,11,1,2,5,10,10,22
0,12,10,大雅區,8,1,5,40,14,9,5,4,5,7,4,12,1,3,10,1,7,4,1,2,2,1,1,22
0,12,18,北區,8,1,5,50,3,9,5,4,5,7,1,17,16,3,10,1,7,12,1,2,11,16,16,22
1,12,38,西區,8,1,5,50,4,1,5,4,5,7,4,15,14,2,9,1,7,9,1,2,11,14,14,21
0,12,50,南區,8,1,5,50,4,1,5,4,5,7,1,16,6,2,8,1,7,5,1,2,11,6,6,21
1,12,56,南區,8,1,5,50,4,2,5,4,5,7,2,13,16,2,9,1,7,9,1,2,11,16,16,5
1,13,4,東區,8,1,5,50,4,1,5,4,5,7,4,17,6,3,10,1,7,9,1,2,5,6,6,22
0,13,5,清水區,8,1,5,50,3,1,5,4,5,7,4,12,26,3,10,1,7,9,1,2,4,26,26,5
0,13,28,烏日區,8,1,5,50,3,2,5,4,5,7,1,13,23,2,9,1,7,9,1,2,11,23,23,21
0,13,30,豐原區,8,1,5,40,14,9,5,4,5,7,4,17,14,2,9,1,7,9,1,2,11,14,14,4
0,13,40,大里區,8,1,5,50,14,7,5,4,5,7,4,12,26,2,7,1,7,5,1,2,14,26,26,19
1,13,46,神岡區,8,1,5,50,14,9,5,4,5,7,4,17,19,2,9,1,7,1,1,2,11,19,19,12
0,14,14,西區,8,1,5,50,5,1,5,4,5,7,1,16,17,3,10,1,7,5,1,2,12,17,17,21
0,14,29,豐原區,8,1,5,50,3,1,5,4,5,7,4,17,26,2,9,1,7,5,1,2,15,26,26,22
0,14,36,西屯區,8,1,5,50,3,1,5,4,5,7,4,17,10,3,10,1,7,11,1,2,3,10,10,22
1,14,50,西屯區,8,1,5,50,4,1,5,4,5,7,2,12,16,2,9,3,7,9,3,2,11,16,16,21
1,15,31,大甲區,8,1,5,50,4,1,5,4,5,7,1,16,23,2,9,1,7,9,2,2,14,23,23,4
0,16,5,大里區,8,1,5,50,3,1,5,4,5,7,4,16,8,2,8,1,7,5,8,2,16,8,8,22
1,16,37,大肚區,8,1,5,50,3,1,5,4,5,7,4,16,6,2,8,1,7,5,1,2,11,6,6,19
0,16,38,梧棲區,8,1,5,50,4,1,5,4,5,7,1,12,7,3,10,1,7,8,1,2,6,7,7,12
0,16,39,西屯區,8,1,5,50,14,9,5,4,5,7,4,17,26,2,9,3,7,11,8,2,16,26,26,22
0,16,48,大甲區,7,1,5,50,3,1,5,4,5,7,4,16,6,2,7,1,7,5,1,2,12,6,6,9
0,16,59,西屯區,8,1,5,50,14,7,5,4,5,7,4,16,43,2,9,1,7,9,1,2,14,43,43,4
1,17,3,太平區,8,3,5,50,4,7,5,4,5,7,1,16,8,2,9,1,7,5,1,2,14,8,8,20
0,17,3,清水區,8,1,5,30,4,1,5,4,5,7,4,16,6,2,7,1,7,5,1,2,12,6,6,5
0,17,19,大肚區,8,1,5,50,4,1,5,4,5,7,1,16,25,2,9,1,7,9,1,2,12,25,25,21
0,17,19,烏日區,8,1,5,50,3,2,5,4,5,7,1,11,4,3,10,2,7,9,8,2,16,4,4,15
1,17,24,潭子區,8,2,5,50,4,1,5,4,5,7,1,16,38,2,9,1,7,14,1,2,11,38,38,22
0,17,27,西屯區,8,1,5,50,14,7,5,4,5,7,4,13,44,2,9,1,7,9,1,2,13,44,44,4
0,17,30,南屯區,8,1,5,50,14,7,5,4,5,7,4,13,23,2,9,3,7,9,2,2,11,23,23,12
1,17,33,西屯區,8,1,5,40,14,8,5,4,5,7,4,16,17,2,9,1,7,9,1,2,14,17,17,4
1,17,40,龍井區,8,1,5,40,3,1,5,4,5,7,1,13,16,2,8,1,7,5,1,2,15,16,16,21
0,17,45,北區,8,1,5,50,5,1,5,4,5,7,2,16,6,3,10,1,7,5,1,2,8,6,6,22
1,17,45,大里區,8,1,5,50,14,9,5,4,5,7,4,13,23,2,9,1,7,9,1,2,11,23,23,22
0,17,53,南屯區,8,3,5,50,4,1,5,4,5,7,2,17,7,2,9,1,7,6,1,2,12,23,7,22
0,17,53,沙鹿區,8,1,5,40,3,1,5,4,5,7,4,16,42,3,10,1,7,6,1,2,2,42,42,21
1,17,55,西屯區,8,2,5,50,4,1,5,4,5,7,1,16,6,2,9,1,7,5,1,2,14,6,6,4
1,18,22,西屯區,8,3,5,50,4,1,5,4,5,7,4,15,14,2,8,3,7,9,1,2,11,14,14,22
0,18,26,東勢區,8,3,5,60,14,7,5,4,5,7,4,17,26,2,8,1,7,11,3,2,13,26,26,21
1,18,30,大里區,8,3,5,50,5,2,5,4,5,7,3,11,4,3,10,1,7,1,6,9,11,4,4,9
1,18,30,大甲區,7,3,5,50,4,1,5,4,5,7,1,17,6,3,10,1,7,5,1,2,8,6,6,9
0,18,40,南屯區,8,3,5,50,14,9,5,4,5,7,4,13,23,3,10,1,7,9,1,2,1,23,23,21
1,18,45,南屯區,8,4,5,40,14,8,5,4,5,7,4,17,43,2,9,3,7,9,1,2,15,43,43,12
0,18,50,烏日區,8,3,5,40,8,8,5,4,5,7,4,17,42,3,10,1,7,9,1,2,15,42,42,21
1,19,3,西屯區,8,3,5,50,14,9,5,4,5,7,4,13,23,2,9,1,7,9,1,2,11,23,23,22
1,19,3,西屯區,8,3,5,50,14,7,5,4,5,7,4,13,23,3,10,1,7,9,1,1,1,23,23,4
0,19,5,太平區,8,3,5,50,5,1,5,4,5,7,2,17,25,2,9,4,7,9,8,2,16,25,25,20
0,19,26,大里區,8,3,5,50,14,9,5,4,5,7,4,17,23,2,9,1,7,9,1,2,11,23,23,22
0,19,33,南區,7,3,5,40,3,1,5,4,5,7,4,18,23,2,9,1,7,9,1,2,14,23,23,22
1,19,34,太平區,8,3,5,50,14,9,5,4,5,7,4,2,23,2,9,1,7,9,1,2,11,23,23,20
0,19,37,西屯區,8,3,5,50,14,9,5,4,5,7,4,17,23,2,9,3,7,9,1,2,11,23,23,22
0,20,30,東區,7,3,5,50,15,9,5,4,5,7,4,29,23,2,9,1,7,6,1,11,11,23,23,22
0,20,30,后里區,8,3,5,50,14,9,5,4,5,7,4,13,16,3,10,1,7,14,1,2,1,23,16,22
0,21,6,南區,8,3,5,50,4,1,5,4,5,7,1,17,6,2,9,1,7,5,1,2,11,6,6,22
